DATE,TIME,SCP,HUM,PM1,PM2.5,PM10,PRES,TC
25/10/2018,0:03,SCP3,35.51269531,55.79999924,62.56999969,62.7899971,99675.26563,25.93000031
25/10/2018,0:15,SCP3,35.625,62.41999817,70.69999695,70.86999512,99714.92969,25.94000053
25/10/2018,0:28,SCP3,35.61425781,65.72999573,73.66999817,74.31999969,99712.15625,25.95000076
25/10/2018,0:41,SCP3,35.64453125,68.23999786,76.69999695,77,99737.13281,25.94000053
25/10/2018,0:54,SCP3,35.69628906,69.70999908,78.70999908,78.93999481,99752.17188,25.93000031
25/10/2018,1:06,SCP3,35.69628906,69.88999939,77.77999878,77.97999573,99768.17188,25.95000076
25/10/2018,1:19,SCP3,35.66503906,66.54000092,74.81999969,75.01000214,99798.70313,25.95000076
25/10/2018,1:32,SCP3,36.04296875,62.31999969,69.27999878,69.40999603,99821.71094,25.95000076
25/10/2018,1:44,SCP3,35.66699219,62.46999741,69.65000153,69.76999664,99837.57031,25.95000076
25/10/2018,1:57,SCP3,35.36035156,60.70999908,68.01000214,68.18999481,99850.29688,25.95000076
25/10/2018,2:10,SCP3,35.859375,55.25,62.46999741,62.59999847,99851.45313,25.95000076
25/10/2018,2:23,SCP3,35.61523438,56.37999725,63.43999863,63.62999725,99862.55469,25.95000076
25/10/2018,2:35,SCP3,35.64550781,54.79999924,60.59000015,60.66999817,99891.10938,25.96999931
25/10/2018,2:48,SCP3,35.65722656,52.91999817,58.05999756,58.12999725,99903.04688,25.96999931
25/10/2018,3:01,SCP3,35.67675781,53.29999924,59,63.46999741,99903.875,25.96999931
25/10/2018,3:14,SCP3,35.67773438,54.59999847,60.36999893,60.55999756,99907.4375,25.96999931
25/10/2018,3:26,SCP3,35.65722656,53,59.18000031,59.34000015,99903.875,25.97999954
25/10/2018,3:39,SCP3,35.65722656,53.09000015,58.2899971,58.44999695,99887.21875,25.96999931
25/10/2018,3:52,SCP3,35.64746094,58.95999908,65.13999939,65.29000092,99912.20313,25.96999931
25/10/2018,4:04,SCP3,35.58691406,63.57999802,70.61999512,70.86000061,99899.94531,25.98999977
25/10/2018,4:17,SCP3,35.33300781,66.26999664,73.75,73.93999481,99899.10938,25.97999954
25/10/2018,4:30,SCP3,35.80078125,69.72000122,77.95999908,78.13999939,99911.04688,25.96999931
25/10/2018,4:43,SCP3,35.32519531,70.90999603,78.68999481,78.86999512,99923.78125,25.98999977
25/10/2018,4:55,SCP3,35.62890625,73.86999512,81.73999786,81.86000061,99947.96875,25.98999977
25/10/2018,5:08,SCP3,35.91210938,72.83000183,81.68999481,81.90999603,99972.95313,26
25/10/2018,5:21,SCP3,35.4765625,73.65000153,82.55999756,82.69999695,99977.35938,26.01000023
25/10/2018,5:34,SCP3,35.38476563,70.88999939,79.47000122,79.66999817,99979.30469,26
25/10/2018,5:46,SCP3,35.30371094,69.80999756,77.95999908,78.18999481,99997.58594,25.98999977
25/10/2018,5:59,SCP3,35.22265625,67.47999573,74.90000153,75.55999756,100022.9297,26
25/10/2018,6:12,SCP3,35.171875,61.48999786,67.76000214,67.97000122,100019,25.98999977
25/10/2018,6:24,SCP3,35.19335938,56.84999847,63.34000015,63.52000046,100021.7734,26
25/10/2018,6:37,SCP3,35.02929688,57.52999878,63.31999969,63.40999985,100030.1094,25.98999977
25/10/2018,6:50,SCP3,34.98925781,55.46999741,61.55999756,61.73999786,100054.7734,26.01000023
25/10/2018,7:03,SCP3,34.98046875,53.31999969,59.02000046,59.18000031,100028.9531,26
25/10/2018,7:15,SCP3,34.95800781,52.25999832,57.95999908,58.20999908,100082.8594,26.01000023
25/10/2018,7:28,SCP3,34.90820313,53.50999832,59.25999832,59.43000031,100079.7578,26.01000023
25/10/2018,7:41,SCP3,34.83789063,49.40999985,54.39999771,54.50999832,100099.9922,26.01000023
25/10/2018,7:54,SCP3,34.80761719,52.84999847,59.02000046,59.12999725,100149.9688,26.02000046
25/10/2018,8:06,SCP3,34.53417969,50.00999832,55.91999817,56.09000015,100162.7344,26.02000046
25/10/2018,8:19,SCP3,34.50292969,46.64999771,51.77000046,51.97999954,100185.2656,26.03000069
25/10/2018,8:32,SCP3,34.73730469,46.5399971,51.82999802,52.54999924,100187.7266,26.02000046
25/10/2018,8:44,SCP3,34.70605469,46.2899971,51.16999817,51.64999771,100208.2813,26.02000046
25/10/2018,8:57,SCP3,34.99121094,93.26999664,102.6299973,103.0999985,100226.6563,25.88999939
25/10/2018,9:10,SCP3,35.86816406,71.34999847,79.19999695,80.45999908,100254.3125,25.94000053
25/10/2018,9:23,SCP3,37.04199219,56.18999863,64.19999695,69.51000214,100259.4063,26.02000046
25/10/2018,9:35,SCP3,35.91894531,45.02999878,51.06999969,51.70999908,100271.2813,25.94000053
25/10/2018,10:01,SCP3,37.24316406,40.32999802,45.23999786,45.41999817,100283.7891,26.11000061
25/10/2018,10:14,SCP3,36.92089844,35.79999924,41.05999756,41.25999832,100275.6563,26.13999939
25/10/2018,10:27,SCP3,36.44433594,32.23999786,37.45000076,37.95999908,100283.9922,26.17000008
25/10/2018,10:39,SCP3,37.16308594,33.61999893,39.23999786,55.93999863,100292.0313,26.25
25/10/2018,10:52,SCP3,36.64355469,32.41999817,37.98999786,41.72999954,100304.6016,26.22999954
25/10/2018,11:05,SCP3,35.94042969,29.52999878,34.11000061,35.34999847,100308.8438,26.20000076
25/10/2018,11:18,SCP3,35.66113281,30.87999916,35.02999878,35.52999878,100333.4609,26.13999939
25/10/2018,11:30,SCP3,35.69726563,27.76000023,32.11000061,32.81999969,100338.3281,26.07999992
25/10/2018,11:43,SCP3,35.29785156,24.54999924,28.05999947,29.14999962,100334.5469,26.04999924
25/10/2018,11:56,SCP3,35.21386719,26.34999847,29.89999962,30.67000008,100337.9844,26.01000023
25/10/2018,12:09,SCP3,34.98046875,24.39999962,27.86999893,28.01999855,100348.25,26.01000023
25/10/2018,12:21,SCP3,35.171875,26.01000023,30.25,30.4299984,100352.9766,26
25/10/2018,12:34,SCP3,34.67578125,23.60000038,27.43000031,27.61999893,100346.625,25.98999977
25/10/2018,12:47,SCP3,34.24707031,25.5,29.31999969,29.5,100336.9688,25.97999954
25/10/2018,12:59,SCP3,34.52050781,25.54999924,29.43999863,29.70999908,100339.75,25.96999931
25/10/2018,13:12,SCP3,34.5390625,21.44999886,24.86999893,26.22999954,100326.9844,25.95000076
